country_region,last_update,lat,long,confirmed,deaths,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,uid,iso3
Australia,2020-04-29 12:32:25,-25,133,6746,90,5670,986,26.4967772597478,,,1.33412392528906,36,AUS
Austria,2020-04-29 12:32:25,47.5162,14.5501,15402,580,12779,2043,171.011724995559,,,3.76574470847942,40,AUT
Canada,2020-04-29 12:32:25,60.001,-95.001,51150,2983,19231,28936,135.118350202567,,,5.83186705767351,124,CAN
China,2020-04-29 12:32:25,30.5928,114.3055,83940,4637,78435,868,5.97575385925383,,,5.52418394091017,156,CHN
Denmark,2020-04-29 12:32:25,56,10,9206,443,6558,2205,158.937799659301,,,4.81207907886161,208,DNK
Finland,2020-04-29 12:32:25,61.9241,25.7482,4906,199,2800,1907,88.5444810582311,,,4.05625764370159,246,FIN
France,2020-04-29 12:32:25,46.2276,2.2137,169053,23694,47775,97584,258.991733124456,,,14.0157228798069,250,FRA
Germany,2020-04-29 12:32:25,51.1657,10.4515,160059,6314,120400,33345,191.037793696632,,,3.94479535671221,276,DEU
Iceland,2020-04-29 12:32:25,64.9631,-19.0208,1795,10,1636,149,526.007326007326,,,0.557103064066852,352,ISL
Ireland,2020-04-29 12:32:25,53.1424,-7.6921,19877,1159,9233,9485,402.548019399748,,,5.83085978769432,372,IRL
Italy,2020-04-29 12:32:25,41.8719,12.5674,201505,27359,68941,105205,333.276393826531,,,13.5773305873303,380,ITA
Netherlands,2020-04-29 12:32:25,52.3167,5.55,38998,4727,117,34154,227.59433349754,,,12.1211344171496,528,NLD
Norway,2020-04-29 12:32:25,60.472,8.4689,7660,206,32,7422,141.296035115201,,,2.68929503916449,578,NOR
Russia,2020-04-29 12:32:25,61.524,105.3188,99399,972,10286,88141,68.1120826431262,,,0.977877041016509,643,RUS
Sweden,2020-04-29 12:32:25,60.1282,18.6435,20302,2462,1005,16835,201.024430478639,,,12.1268840508324,752,SWE
Switzerland,2020-04-29 12:32:25,46.8182,8.2275,29407,1699,22600,5108,339.78391651717,,,5.77753596082565,756,CHE
United Kingdom,2020-04-29 12:32:25,55,-3,162350,21745,813,139792,239.15091540813,,,13.3939020634432,826,GBR
US,2020-04-29 12:32:25,40,-100,1012583,58355,115936,838292,307.340402416839,,,5.76298436770122,840,USA
Afghanistan,2020-04-29 12:32:25,33.93911,67.709953,1828,58,228,1542,4.69580761224836,,,3.17286652078775,4,AFG
Albania,2020-04-29 12:32:25,41.1533,20.1683,766,30,455,281,26.6175550767948,,,3.91644908616188,8,ALB
Algeria,2020-04-29 12:32:25,28.0339,1.6596,3649,437,1651,1561,8.32135281252033,,,11.9758838037819,12,DZA
Andorra,2020-04-29 12:32:25,42.5063,1.5218,743,41,398,304,961.625574322138,,,5.51816958277254,20,AND
Angola,2020-04-29 12:32:25,-11.2027,17.8739,27,2,6,19,0.0821510978976986,,,7.40740740740741,24,AGO
Antigua and Barbuda,2020-04-29 12:32:25,17.0608,-61.7964,24,3,11,10,24.507801650192,,,12.5,28,ATG
Argentina,2020-04-29 12:32:25,-38.4161,-63.6167,4127,207,1162,2758,9.13138411139607,,,5.01574993942331,32,ARG
Armenia,2020-04-29 12:32:25,40.0691,45.0382,1932,30,900,1002,65.1990359181894,,,1.5527950310559,51,ARM
Azerbaijan,2020-04-29 12:32:25,40.1431,47.5769,1717,22,1221,474,16.9343166480508,,,1.28130460104834,31,AZE
Bahamas,2020-04-29 12:32:25,25.025885,-78.035889,80,11,23,46,20.3433965334852,,,13.75,44,BHS
Bahrain,2020-04-29 12:32:25,26.0275,50.55,2811,8,1310,1493,165.199111650739,,,0.284596229099964,48,BHR
Bangladesh,2020-04-29 12:32:25,23.685,90.3563,7103,163,150,6790,4.31296776429116,,,2.29480501196677,50,BGD
Barbados,2020-04-29 12:32:25,13.1939,-59.5432,80,6,39,35,27.8385780054355,,,7.5,52,BRB
